name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri
Sad Beautiful Tragic (Taylor's Version),0.601,0.406,7,-11.827,1,0.0275,0.622,9.19e-05,0.133,0.232,130.059,spotify:track:73qMN9bXy7MSPwwGfH3wQr
Holy Ground (Taylor's Version),0.622,0.809,9,-5.623,1,0.0638,0.0288,0.00218,0.109,0.511,156.894,spotify:track:7J4b3LVCIGO4CMBDFLPoP6
The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),0.502,0.534,2,-5.954,1,0.0278,0.0399,0,0.0977,0.155,94.05,spotify:track:0y6kdSRCVQhSsHSpWvTUm7
Stay Stay Stay (Taylor's Version),0.693,0.681,0,-7.039,1,0.025,0.0848,0,0.0768,0.663,100.02,spotify:track:7eQj6r5PIdYKEIZjucBMcq
Treacherous (Taylor's Version),0.645,0.593,2,-6.506,1,0.0288,0.0344,0.000127,0.13,0.299,109.984,spotify:track:3S7HNKPakdwNEBFIVTL6dZ
Better Man (Taylor's Version) (From The Vault),0.473,0.579,4,-5.824,1,0.0384,0.214,0,0.0877,0.255,73.942,spotify:track:4OmFmE0fzcMG6g0Y8p4eSD
The Very First Night (Taylor's Version) (From The Vault),0.678,0.733,7,-5.025,1,0.0281,0.00115,0,0.104,0.581,121.009,spotify:track:6pYNq0ZwpPVazKzsqpf0G8
Message In A Bottle (Taylor's Version) (From The Vault),0.622,0.791,7,-6.106,1,0.0535,0.00188,3.72e-06,0.083,0.494,115.915,spotify:track:3z6XUommYDWPHeFhmhhT6j
Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),0.606,0.377,0,-9.455,1,0.0275,0.817,0,0.154,0.446,101.96,spotify:track:01K4zKU104LyJ8gMb7227B
State Of Grace (Taylor's Version),0.594,0.713,9,-5.314,1,0.0503,0.000328,0,0.114,0.328,129.958,spotify:track:6lzc0Al0zfZOIFsFvBS1ki
Come Back...Be Here (Taylor's Version),0.46,0.632,4,-6.031,1,0.0302,0.0158,0,0.0822,0.399,79.846,spotify:track:4pNApnaUWAL2J4KO2eqokq
We Are Never Ever Getting Back Together (Taylor's Version),0.567,0.686,7,-6.139,1,0.175,0.0317,1.86e-06,0.0732,0.716,172.014,spotify:track:5YqltLsjdqFtvqE7Nrysvs
I Almost Do (Taylor's Version),0.511,0.559,4,-6.587,1,0.0264,0.0167,0,0.113,0.248,145.88,spotify:track:2r9CbjYgFhtAmcFv1cSquB
All Too Well (Taylor's Version),0.44,0.528,0,-7.809,1,0.0317,0.0171,0.00203,0.234,0.132,185.972,spotify:track:3nsfB1vus2qaloUdcBZvDu
I Knew You Were Trouble (Taylor's Version),0.584,0.557,6,-6.371,1,0.0342,0.0129,0,0.0576,0.767,154.008,spotify:track:6AtZLIzUINvExIUy4QhdjP
Red (Taylor's Version),0.516,0.777,1,-4.908,0,0.0375,0.00108,1.62e-06,0.0761,0.408,125.047,spotify:track:4OAuvHryIVv4kMDNSLuPt6
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),0.631,0.518,0,-8.771,1,0.0303,0.274,0,0.088,0.205,93.023,spotify:track:5enxwA8aAbwZbf5qCHORXi
Falling,0.567,0.267,4,-6.502,1,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,spotify:track:1ZMiCix7XSAbfAJlEZWMCp
Lights Up,0.575,0.621,10,-8.165,0,0.032,0.0392,0.0045,0.141,0.27,101.987,spotify:track:4jAIqgrPjKLTY9Gbez25Qb
Sweet Creature,0.427,0.262,7,-8.541,1,0.0276,0.746,0,0.068,0.228,104.085,spotify:track:5kRPPEWFJIMox5qIkQkiz5
Two Ghosts,0.386,0.407,6,-7.095,0,0.0268,0.234,1.86e-06,0.0999,0.456,69.387,spotify:track:4B1rpPmQXwj78wk6aIGwwU
Sign of the Times,0.516,0.595,5,-4.63,1,0.0313,0.0275,0,0.109,0.222,119.972,spotify:track:5Ohxk2dO5COHF1krpoPigN
Chromatica III,0.493,0.373,5,-12.475,1,0.0524,0.952,0.981,0.396,0.565,121.454,spotify:track:6kXRZSe28BawCiEdME8YLk
911,0.789,0.813,5,-4.563,1,0.0374,0.0294,2.07e-06,0.519,0.42,116.007,spotify:track:6qI0MU175Dk2DeoUjlrOpy
Chromatica II,0.184,0.297,2,-14.534,1,0.0359,0.473,0.893,0.527,0.113,75.824,spotify:track:0oQc0F6KUE7QY7k5TU6bic
Chromatica I,0.231,0.457,6,-10.773,0,0.0318,0.0126,0.875,0.327,0.0588,65.827,spotify:track:3CGZ7wfk4skmuyQgua1C1K
Free Woman,0.731,0.927,0,-3.634,1,0.0781,0.0228,7.15e-05,0.187,0.478,119.006,spotify:track:4L6ihclQPu1hqP9r3WNJjQ
Before I Cry,0.48,0.56,2,-5.196,1,0.0373,0.157,0,0.168,0.167,146.41,spotify:track:1JcjOWpaQr2crUaJj2kRYQ
Is That Alright?,0.557,0.279,6,-7.757,1,0.0372,0.868,1.25e-05,0.0978,0.263,102.727,spotify:track:378u8gf9qpJ4ZhxHEvrodl
I Don't Know What Love Is,0.421,0.535,0,-6.556,1,0.0288,0.348,0.000194,0.194,0.221,62.671,spotify:track:3PPeqAc0fCfFdh8cUYShn6
Heal Me,0.606,0.544,9,-8.36,0,0.0593,0.0481,0,0.0916,0.456,86.013,spotify:track:5eRo6g2COIM4OE3UEHMA4g
Look What I Found,0.849,0.493,1,-4.1,0,0.0417,0.456,0.000463,0.133,0.447,97.012,spotify:track:6Id5RM56PFn2hB4I0ox0WA
Music To My Eyes,0.625,0.356,2,-9.044,1,0.0319,0.392,0.00129,0.1,0.325,114.805,spotify:track:5IXk9TVBuxG87sFrwclBJw
Alice,0.723,0.88,11,-4.287,0,0.038,0.00334,0.0179,0.0632,0.323,123.036,spotify:track:41A89rj3GoMG6ktN37L7PG
The Queen,0.368,0.833,6,-5.869,0,0.0464,0.000154,0.00651,0.0545,0.482,143.982,spotify:track:0sUT8GAOF12VKvqJIMtUGP
Hair,0.57,0.923,5,-3.433,1,0.063,0.00116,9.01e-06,0.141,0.403,135.006,spotify:track:4u8q2Gddnu8jqCFzxm5IZs
Born This Way,0.587,0.828,11,-5.108,1,0.161,0.00327,0,0.331,0.494,123.907,spotify:track:30XU4suKzCeoCK9YFzdufg
Marry The Night,0.612,0.877,0,-4.43,1,0.064,0.000992,0.00563,0.462,0.38,131.068,spotify:track:02d1E4NRuh7OEQO4vCb9PD
The Fame,0.816,0.694,5,-3.325,1,0.0504,0.0296,1.48e-05,0.035,0.966,127.021,spotify:track:3HhAZV8ngUOOt4eUHovhud
Poker Face,0.851,0.806,4,-4.62,1,0.0787,0.118,1.64e-06,0.121,0.787,118.999,spotify:track:1QV6tiMFM6fSOKOGLMHYYg
Sweetest Devotion,0.416,0.752,0,-5.471,1,0.0396,0.251,0,0.125,0.266,155.89,spotify:track:2Eb7QQ5soJQBEYTfSb5BS6
All I Ask,0.591,0.28,4,-5.494,1,0.0283,0.889,0,0.124,0.348,141.916,spotify:track:6DEMMeWXfmFAXgDUMMzeg6
Water Under the Bridge,0.59,0.833,5,-6.503,0,0.0615,0.0142,5.4e-06,0.105,0.538,94.963,spotify:track:2DRMuw0U0QbkVQxWxdJV3M
Remedy,0.405,0.3,2,-6.475,1,0.0378,0.894,0,0.154,0.24,162.355,spotify:track:1zZh6zTXcDgvN0C6S1G4gU
When We Were Young,0.376,0.595,3,-5.936,1,0.0496,0.303,0,0.095,0.265,144.361,spotify:track:6O5TrlFWTYvznd9fMC0VvU
Love In The Dark,0.331,0.341,9,-6.057,0,0.0309,0.528,0,0.109,0.152,109.821,spotify:track:0DuWDLjriRPjDRoPgaCslY
Lovesong,0.689,0.369,0,-9.407,0,0.0278,0.693,0.00236,0.111,0.361,116.885,spotify:track:2PPN1HFpVotjq7oJIqQbnx
One And Only,0.528,0.468,5,-5.306,1,0.0287,0.295,0,0.165,0.185,154.974,spotify:track:5W63Zcirj6bvnTxhVIKTSK
I'll Be Waiting,0.547,0.848,2,-2.684,1,0.0367,0.049,0,0.114,0.749,160.063,spotify:track:42Uw9frN5ZVX40mRU3hHFL
Set Fire to the Rain,0.603,0.67,2,-3.882,0,0.0249,0.00408,1.68e-06,0.112,0.446,107.993,spotify:track:3di5hcvxxciiqwMH1jarhY
Don't You Remember,0.644,0.4,3,-5.713,1,0.0304,0.214,0,0.0866,0.227,115.025,spotify:track:1CRtJS94Hq3PbBZT9LuF90
Turning Tables,0.353,0.446,0,-6.044,0,0.0285,0.95,1.35e-05,0.132,0.211,155.476,spotify:track:2eF2x1BkgilhaZ2AipRY8j
Tired,0.801,0.663,11,-6.29,1,0.0485,0.181,0.000535,0.0945,0.552,96.991,spotify:track:44LTAQLZPPSgNbmMh5Qacd
Make You Feel My Love,0.317,0.172,10,-10.636,1,0.0326,0.907,0.000383,0.105,0.0963,65.18,spotify:track:5PuJtgZFBzZ98GIWDpS2sF
Melt My Heart To Stone,0.353,0.388,11,-7.091,0,0.0366,0.346,0,0.215,0.19,80.67,spotify:track:1Ty11iX5DIhZRRD9zCHP3l
Crazy For You,0.707,0.139,7,-12.3,1,0.0507,0.91,0,0.105,0.323,85.868,spotify:track:2Mu0WHDu931jSNOC6GDIp5
Cold Shoulder,0.65,0.82,0,-5.344,1,0.047,0.00217,0,0.133,0.35,109.955,spotify:track:78foNmu2hGDPwm3cJVlikF
Chasing Pavements,0.616,0.47,5,-6.092,0,0.0253,0.291,0,0.111,0.325,80.03,spotify:track:4YoGMmUJJ9dZpQ2CLOmPl2
Daydreamer,0.807,0.105,9,-13.188,1,0.0412,0.964,0,0.103,0.372,109.014,spotify:track:0SA1xt4HUX5ny8xfgHOqQI
Be Right Now,0.501,0.684,11,-6.706,1,0.0566,0.00494,0.000478,0.0524,0.442,131.952,spotify:track:3BiiSLo0wyHAY7lpCEO6ge
Visiting Hours,0.471,0.396,8,-6.654,1,0.0336,0.77,0,0.0729,0.263,149.609,spotify:track:0rt63HYAAIzUZo5O2D0uA6
Love In Slow Motion,0.485,0.54,1,-5.4,1,0.0253,0.668,0,0.0849,0.426,62.631,spotify:track:1i4F583d9v9RabcfOlKKVL
Stop The Rain,0.686,0.765,8,-4.778,1,0.118,0.0122,0,0.127,0.743,99.998,spotify:track:0VuDtcT7H4CAljLZEH021x
Shivers,0.788,0.859,2,-2.724,1,0.0856,0.281,0,0.0424,0.822,141.02,spotify:track:50nfwKoDiSYg8zOCREWAm5
Leave Your Life,0.578,0.558,2,-5.438,1,0.0872,0.236,0,0.143,0.54,75.087,spotify:track:0YbI9lWxUBsCJLb6EBydkr
The Joker And The Queen,0.567,0.211,0,-9.975,1,0.0315,0.952,5.24e-05,0.275,0.289,134.019,spotify:track:3NuLxTXowTRcguTh9RsPmM
Overpass Graffiti,0.52,0.849,9,-3.794,0,0.186,0.00253,0,0.119,0.774,175.908,spotify:track:4btFHqumCO31GksfuBLLv3
Bad Habits,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,spotify:track:3rmo8F54jFF8OgYsqTxm5d
Easy On Me,0.604,0.366,5,-7.519,1,0.0282,0.578,0,0.133,0.13,141.981,spotify:track:0gplL1WMoJ6iYaPgMCL0gX
"Al'Naito (The Flame) - from ""The Wheel Of Time"" soundtrack",0.397,0.677,5,-8.781,0,0.0493,0.00412,3.57e-05,0.106,0.12,124.941,spotify:track:3Uw1juuq3Ch2hdghOcfl6M
Scars To Your Beautiful,0.319,0.739,0,-5.74,1,0.272,0.0285,0,0.111,0.449,194.169,spotify:track:42ydLwx4i5V49RXHOozJZq
Bohemian Rhapsody,0.39,0.397,0,-9.963,0,0.0513,0.287,0,0.207,0.246,144.031,spotify:track:3z8h0TU7ReDPLIbEnYhWZb
Rewrite The Stars,0.684,0.619,10,-7.005,1,0.0386,0.0716,0,0.122,0.284,125.046,spotify:track:630sXRhIcfwr2e4RdNtjKN
Untouchable (Taylor’s Version),0.393,0.531,5,-6.112,1,0.0329,0.0181,0,0.169,0.224,200.391,spotify:track:0tQ9vBYpldCuikPsbgOVKA
I'll Never Love Again - Extended Version,0.406,0.359,7,-6.145,1,0.0293,0.685,3.67e-06,0.122,0.202,109.246,spotify:track:2fbJ5Msx8KoDKpyufH5YsU
Bad Romance,0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,spotify:track:0SiywuOBRcynK0uKGWdCnn
Stronger,0.707,0.923,11,-3.957,1,0.0521,0.128,0.000437,0.273,0.842,108.049,spotify:track:5QhBKPqsnX1uY9fZNaAtZg
A Thousand Years,0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.161,139.028,spotify:track:6lanRgr6wXibZr8KgzXxBl
Shameless,0.377,0.651,4,-5.437,0,0.0589,0.0197,5.31e-05,0.174,0.0851,129.607,spotify:track:2ogKhhoMClkFXek7ZgxAhN
evermore (feat. Bon Iver),0.39,0.27,1,-10.673,1,0.0308,0.937,0.00227,0.111,0.32,125.177,spotify:track:3O5osWf1rSoKMwe6E9ZaXP
Shake It Off,0.647,0.8,7,-5.384,1,0.165,0.0647,0,0.334,0.942,160.078,spotify:track:0cqRj7pUJDkTCEsJkx8snD
Rolling in the Deep,0.73,0.769,8,-5.114,1,0.0298,0.138,0,0.0473,0.507,104.948,spotify:track:4OSBTYWVwsQhGLF9NHvIbR
Someone Like You,0.556,0.319,9,-8.251,1,0.0281,0.893,0,0.0996,0.294,135.187,spotify:track:3bNv3VuUOKgrf5hu3YcuRo
Hello,0.578,0.43,5,-6.134,0,0.0305,0.33,0,0.0854,0.288,78.991,spotify:track:1Yk0cQdMLx5RzzFTYwmuld
Toxic,0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,spotify:track:6I9VzXrHxO9rA9A5euc8Ak
Oops!...I Did It Again,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,spotify:track:6naxalmIoLFWR0siv8dnQQ
Let Me Love You,0.649,0.716,8,-5.371,1,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,spotify:track:0lYBSQXN6rCTvUZvg9S0lU
Love Yourself,0.609,0.378,4,-9.828,1,0.438,0.835,0,0.28,0.515,100.418,spotify:track:50kpGaPAhYJ3sGmk6vplg0
Stuck with U (with Justin Bieber),0.597,0.45,8,-6.658,1,0.0418,0.223,0,0.382,0.537,178.765,spotify:track:4HBZA5flZLE435QTztThqH
Used to This,0.583,0.495,1,-7.681,0,0.0813,0.361,3.35e-06,0.348,0.364,100.047,spotify:track:3r73OmpBtQAwMgawxOmlg0
Never Be the Same,0.637,0.713,0,-4.333,1,0.0747,0.181,0.000637,0.137,0.243,129.923,spotify:track:4eWQlBRaTjPPUlzacqEeoQ
Real Friends,0.726,0.304,3,-8.677,1,0.131,0.839,0,0.0853,0.813,91.97,spotify:track:3iq9nhbI8fcnNamxMft1uv
My Oh My (feat. DaBaby),0.724,0.491,8,-6.024,1,0.0296,0.018,1.29e-05,0.0887,0.383,105.046,spotify:track:3yOlyBJuViE2YSGn3nVE1K
Living Proof,0.735,0.514,7,-5.464,1,0.082,0.109,0,0.359,0.517,77.566,spotify:track:4jFD7byoPdGkEdjHLMduR9
Living Proof,0.735,0.514,7,-5.464,1,0.082,0.109,0,0.359,0.517,77.566,spotify:track:1jg9clsGCDqOumfS0X5xm9
"Million To One - from the Amazon Original Movie ""Cinderella""",0.511,0.466,7,-5.927,1,0.0298,0.583,0,0.117,0.278,150.022,spotify:track:3lzYrD0WcgGFiAFKkB2shE
This Is Why We Can't Have Nice Things,0.567,0.789,5,-5.986,1,0.115,0.0156,0,0.382,0.438,163.96,spotify:track:07NxDD1iKCHbAldceD7QLP
Don't Go Yet,0.666,0.796,10,-6.967,0,0.103,0.0492,0,0.0442,0.61,110.108,spotify:track:1058fW9H3fZA6QjYCdOBad
I'll Never Love - Extended Version - Radio Edit,0.403,0.356,7,-6.173,1,0.0287,0.712,2.04e-06,0.109,0.194,108.989,spotify:track:54e5nUP7pHqVfaiCsq9FpW
I Knew You Were Trouble.,0.622,0.469,3,-6.798,0,0.0363,0.00454,2.25e-06,0.0335,0.679,77.019,spotify:track:3lKZf71jeNi14udIFPJ29V
How Far I'll Go,0.571,0.307,1,-10.958,0,0.0499,0.649,0,0.178,0.108,83.72,spotify:track:1ERshJBUZysordGDZr5B3t
You'll Be In My Heart,0.568,0.748,8,-6.54,1,0.0299,0.0626,2.18e-06,0.0947,0.623,96.59,spotify:track:4Y8vb1uy9IjM2V1hqvrAid
"Colors of the Wind - From ""Pocahontas"" / Soundtrack Version",0.272,0.164,1,-17.04,1,0.046,0.929,0.0011,0.109,0.228,81.551,spotify:track:1OYOLWqKmhkFIx2KC9ek1a
You'll Be In My Heart,0.353,0.165,9,-16.995,1,0.0395,0.883,0,0.168,0.339,102.35,spotify:track:7C11GdiguhLd9j7Y6jHFm9
Oxytocin,0.757,0.598,11,-7.777,1,0.058,0.0904,0.551,0.15,0.18,124.951,spotify:track:4t2OeILB07eMGTXSUbMPEu
Happier Than Ever,0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,spotify:track:4RVwu0g32PAqgUiJoXsdF8
tolerate it,0.316,0.361,9,-10.381,1,0.0488,0.878,2.67e-05,0.0797,0.221,74.952,spotify:track:0PurA4JVJ8YQgSVopY8fn6
Wolves,0.724,0.804,11,-4.614,0,0.0448,0.124,0,0.204,0.306,124.987,spotify:track:0tBbt8CrmxbjRP0pueQkyU
Your Power,0.632,0.284,9,-14.025,0,0.0801,0.932,0.000476,0.233,0.208,129.642,spotify:track:042Sl6Mn83JHyLEqdK7uI0
Lost Cause,0.526,0.334,10,-8.491,0,0.251,0.702,0.00782,0.0586,0.522,74.966,spotify:track:4191RXFPa7Ge9XkA4cWlna
Havana (feat. Young Thug),0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,spotify:track:1rfofaqEpACxVEHIZBJe6W
Criminal,0.696,0.734,7,-5.294,1,0.0298,0.0485,0,0.183,0.711,107.987,spotify:track:6T689Jvh5KrSXyaPtUWZtQ
Red,0.602,0.896,1,-4.267,0,0.0437,0.0773,8.87e-05,0.0911,0.641,124.978,spotify:track:7gJtmLyPTwKzhGzMBXtuXH
Sweet Dreams,0.766,0.817,7,-4.253,1,0.035,0.0239,2.49e-06,0.159,0.43,125.033,spotify:track:4uDhts78RdwIDjEqPrYVKp
Shallow,0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,spotify:track:2VxeLyX666F8uXCJ0dZF8B
Rain On Me (with Ariana Grande),0.672,0.855,9,-3.764,1,0.0397,0.021,0,0.323,0.646,123.056,spotify:track:7ju97lgwC2rKQ6wwsf9no9
On The Ground,0.311,0.607,1,-6.578,1,0.11,0.0174,0,0.131,0.286,188.7,spotify:track:2xgACMNtJ5YktyvOC83SPO
Someone You Loved,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,spotify:track:7qEHsqek33rTcFNT9PFqLf
A Thousand Years,0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.161,139.028,spotify:track:6z5Yh7kOKeLjqIsNdokIpU
Always Remember Us This Way,0.553,0.502,0,-5.972,1,0.0409,0.299,0,0.764,0.296,129.976,spotify:track:2rbDhOo9Fh61Bbu23T2qCk
Shallow - Radio Edit,0.575,0.33,7,-6.557,1,0.031,0.416,0,0.0872,0.277,95.801,spotify:track:6QfS2wq5sSC1xAJCQsTSlj
Bad Habits,0.808,0.897,11,-3.712,0,0.0348,0.0469,3.14e-05,0.364,0.591,126.026,spotify:track:6PQ88X9TkUIAUIZJHW2upE
All Too Well,0.602,0.609,0,-7.803,1,0.0243,0.0382,0.0002,0.128,0.337,93.06,spotify:track:6GNRkaWUB0Lwc19SdkTgx8
The A Team,0.642,0.289,9,-9.918,1,0.0367,0.669,0,0.18,0.407,84.996,spotify:track:1VdZ0vKfR5jneCmWIUAMxK
There's Nothing Holdin' Me Back,0.866,0.813,11,-4.063,0,0.0554,0.38,0,0.0779,0.969,121.998,spotify:track:7JJmb5XwzOO8jgpou264Ml
We Were Happy (Taylor’s Version) (From The Vault),0.609,0.373,0,-8.819,1,0.0263,0.849,0,0.0779,0.13,106.007,spotify:track:34V9RiEPe8MNdU32qJsJa1
On My Way,0.509,0.689,1,-4.929,0,0.102,0.0209,0,0.301,0.297,170.087,spotify:track:4n7jnSxVLd8QioibtTDBDq
Into the West,0.312,0.031,0,-22.035,1,0.037,0.914,8.81e-06,0.0949,0.0399,92.074,spotify:track:0gSEyG7pOFuHM05433EibX
That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),0.588,0.608,5,-7.062,1,0.0365,0.225,0,0.092,0.508,90.201,spotify:track:7eResoqEJJAVTkQYSqvO3P
Mr. Perfectly Fine (Taylor’s Version) (From The Vault),0.66,0.817,11,-6.269,0,0.0521,0.162,0,0.0667,0.714,135.942,spotify:track:2CYVETnhM9aytqrazYYwrK
You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),0.599,0.494,2,-7.61,1,0.0372,0.816,0,0.101,0.44,142.893,spotify:track:4CHpVfAhuxNJ3ibExe6kxO
Breathe (feat. Colbie Caillat) (Taylor’s Version),0.506,0.626,1,-6.066,1,0.0287,0.156,0,0.228,0.321,148.035,spotify:track:7HC7R2D8WjXVcUHJyEGjRs
You Belong With Me (Taylor’s Version),0.632,0.773,6,-4.856,1,0.0346,0.0623,0,0.0885,0.474,130.033,spotify:track:1qrpoAMXodY6895hGKoUpA
White Horse (Taylor’s Version),0.423,0.517,0,-7.377,1,0.0486,0.369,0,0.177,0.366,185.262,spotify:track:5YL553x8sHderRBDlm3NM3
Hey Stephen (Taylor’s Version),0.788,0.571,6,-6.135,1,0.0296,0.106,0,0.0934,0.797,115.99,spotify:track:550erGcdD9n6PnwxrvYqZT
Love Story (Taylor’s Version),0.627,0.792,2,-4.311,1,0.031,0.13,3.97e-06,0.0845,0.415,119.054,spotify:track:6YvqWjhGD8mB5QXcbcUKtx
Fifteen (Taylor’s Version),0.559,0.646,7,-4.61,1,0.0272,0.116,0,0.32,0.289,95.466,spotify:track:2nqio0SfWg6gh2eCtfuMa5
Fearless (Taylor’s Version),0.569,0.741,5,-4.963,1,0.0282,0.0122,0,0.333,0.43,100.118,spotify:track:77sMIMlNaSURUAXq5coCxE
Jump Then Fall (Taylor’s Version),0.572,0.69,2,-6.201,1,0.0358,0.0474,0,0.0897,0.624,160.111,spotify:track:2m3ObD945KvpE5y9A1eUWm
Forever & Always (Taylor’s Version),0.598,0.821,10,-4.433,1,0.0447,0.0231,0,0.143,0.673,128.03,spotify:track:1msEuwSBneBKpVCZQcFTsU
You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),0.589,0.496,2,-7.606,1,0.0377,0.818,0,0.101,0.44,142.731,spotify:track:5pcjystBtalYeqaiXCcgEY
willow,0.392,0.579,7,-9.195,1,0.164,0.835,0.00179,0.145,0.549,80.961,spotify:track:3Uo7WG0vmLQ07WB4BDwy7D
Don't Wanna Let You Down,0.651,0.544,6,-6.838,1,0.0824,0.327,1.14e-06,0.0717,0.688,155.95,spotify:track:5LWN8bfW9gwf0kBOGZH3Zd
Lost You,0.706,0.59,6,-5.393,1,0.0401,0.277,0,0.155,0.69,89.998,spotify:track:57xregURRCrNl7IHUp6Qco
bad guy,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,spotify:track:2Fxmhks0bxGSBdJ92vM42m
everything i wanted,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ
Lose You To Love Me,0.488,0.343,4,-8.985,1,0.0436,0.556,0,0.21,0.0978,102.819,spotify:track:4l0Mvzj72xxOpRrp6h8nHi
betty,0.593,0.377,0,-8.761,1,0.0253,0.6,0,0.0976,0.502,95.939,spotify:track:5kI4eCXXzyuIUXjQra0Cxi
A Song for Everything,0.578,0.569,1,-7.863,1,0.0357,0.159,0,0.105,0.187,100.037,spotify:track:59C9WyONT72bKyaystIzjq
The Feels,0.694,0.788,6,-5.33,0,0.0631,0.109,0,0.0647,0.903,96.982,spotify:track:4c10Mtlt9dPeKvP61sicAs
Good Woman,0.346,0.436,2,-6.933,1,0.0287,0.0942,5.57e-06,0.104,0.281,131.718,spotify:track:71K52AGlhXq9wAEl7lE5Yv
Chasing After You (with Maren Morris),0.596,0.679,4,-6.395,1,0.0394,0.723,0,0.116,0.479,131.912,spotify:track:1ZIKpMTRPqhwAoVXWY3tXI
Bluebird,0.661,0.633,7,-5.986,1,0.0348,0.038,2.75e-06,0.124,0.613,81.984,spotify:track:0kPeZAyIhIfeZNrtfjJGDB
Settling Down,0.643,0.756,6,-5.8,0,0.0305,0.0215,0.000268,0.101,0.934,90.001,spotify:track:53bZYxVbCYm6w1Gx8U64bz
